year,gdp_per_capita,county_code,gdp,gdp_density,county,economy_unit,match_status,gb,year_display
2024,,110101,,,东城区,亿元,no_data,156110101,2024
2024,,110102,,,西城区,亿元,no_data,156110102,2024
2024,,110105,,,朝阳区,亿元,no_data,156110105,2024
2024,,110106,,,丰台区,亿元,no_data,156110106,2024
2024,,110107,,,石景山区,亿元,no_data,156110107,2024
2024,,110108,,,海淀区,亿元,no_data,156110108,2024
2024,,110109,,,门头沟区,亿元,no_data,156110109,2024
2024,,110111,,,房山区,亿元,no_data,156110111,2024
2024,,110112,1787.9,,通州区,亿元,matched,156110112,2024
2024,,110113,,,顺义区,亿元,no_data,156110113,2024
2024,,110114,,,昌平区,亿元,no_data,156110114,2024
2024,,110115,4290.5649,,大兴区,亿元,matched,156110115,2024
2024,,110116,564.4621,,怀柔区,亿元,matched,156110116,2024
2024,,110117,,,平谷区,亿元,no_data,156110117,2024
2024,,110118,,,密云区,亿元,no_data,156110118,2024
2024,,110119,,,延庆区,亿元,no_data,156110119,2024
2024,,120101,,,和平区,亿元,no_data,156120101,2024
2024,,120102,,,河东区,亿元,no_data,156120102,2024
2024,,120103,,,河西区,亿元,no_data,156120103,2024
2024,,120104,,,南开区,亿元,no_data,156120104,2024
2024,,120105,,,河北区,亿元,no_data,156120105,2024
2024,,120106,,,红桥区,亿元,no_data,156120106,2024
2024,,120110,,,东丽区,亿元,no_data,156120110,2024
2024,,120111,,,西青区,亿元,no_data,156120111,2024
2024,,120112,,,津南区,亿元,no_data,156120112,2024
2024,,120113,,,北辰区,亿元,no_data,156120113,2024
2024,,120114,,,武清区,亿元,no_data,156120114,2024
2024,,120115,,,宝坻区,亿元,no_data,156120115,2024
2024,,120116,,,滨海新区,亿元,no_data,156120116,2024
2024,,120117,,,宁河区,亿元,no_data,156120117,2024
2024,,120118,,,静海区,亿元,no_data,156120118,2024
2024,,120119,,,蓟州区,亿元,no_data,156120119,2024
2024,,130102,1593.02,,长安区,亿元,matched,156130102,2024
2024,,130104,,,桥西区,亿元,no_data,156130104,2024
2024,,130105,,,新华区,亿元,no_data,156130105,2024
2024,,130107,,,井陉矿区,亿元,no_data,156130107,2024
2024,,130108,,,裕华区,亿元,no_data,156130108,2024
2024,,130109,672.7384,,藁城区,亿元,matched,156130109,2024
2024,,130110,461.8638,,鹿泉区,亿元,matched,156130110,2024
2024,,130111,238.4233,,栾城区,亿元,matched,156130111,2024
2024,,130121,133.0988,,井陉县,亿元,matched,156130121,2024
2024,,130123,387.6713,,正定县,亿元,matched,156130123,2024
2024,,130125,172.9279,,行唐县,亿元,matched,156130125,2024
2024,,130126,170.4988,,灵寿县,亿元,matched,156130126,2024
2024,,130127,110.0424,,高邑县,亿元,matched,156130127,2024
2024,,130128,115.7634,,深泽县,亿元,matched,156130128,2024
2024,,130129,113.8165,,赞皇县,亿元,matched,156130129,2024
2024,,130130,182.8326,,无极县,亿元,matched,156130130,2024
2024,,130131,337.9657,,平山县,亿元,matched,156130131,2024
2024,,130132,225.3513,,元氏县,亿元,matched,156130132,2024
2024,,130133,196.7656,,赵县,亿元,matched,156130133,2024
2024,,130181,352.8198,,辛集市,亿元,matched,156130181,2024
2024,,130183,227.1307,,晋州市,亿元,matched,156130183,2024
2024,,130184,208.1279,,新乐市,亿元,matched,156130184,2024
2024,,130202,,,路南区,亿元,no_data,156130202,2024
2024,,130203,,,路北区,亿元,no_data,156130203,2024
2024,,130204,,,古冶区,亿元,no_data,156130204,2024
2024,,130205,,,开平区,亿元,no_data,156130205,2024
2024,,130207,1101.0657,,丰南区,亿元,matched,156130207,2024
2024,,130208,1031.5378,,丰润区,亿元,matched,156130208,2024
2024,,130209,1220.7896,,曹妃甸区,亿元,matched,156130209,2024
2024,,130224,348.6575,,滦南县,亿元,matched,156130224,2024
2024,,130225,545.2423,,乐亭县,亿元,matched,156130225,2024
2024,,130227,341.6099,,迁西县,亿元,matched,156130227,2024
2024,,130229,368.801,,玉田县,亿元,matched,156130229,2024
2024,,130281,627.2042,,遵化市,亿元,matched,156130281,2024
2024,,130283,1344.0626,,迁安市,亿元,matched,156130283,2024
2024,,130284,,,滦州市,亿元,no_data,156130284,2024
2024,,130302,,,海港区,亿元,no_data,156130302,2024
2024,,130303,,,山海关区,亿元,no_data,156130303,2024
2024,,130304,,,北戴河区,亿元,no_data,156130304,2024
2024,,130306,150.4517,,抚宁区,亿元,matched,156130306,2024
2024,,130321,148.4645,,青龙满族自治县,亿元,matched,156130321,2024
