county_code,pop_total,pop_density,year
420704,712630,1156.1628,2024
522730,193128,127.1918,2024
420703,239387,505.9126,2024
420702,153736,311.3676,2024
440311,834729,5310.4996,2024
610117,430521,1497.1589,2024
522732,299465,126.2211,2024
440310,428956,2587.6196,2024
610118,593209,463.3443,2024
522731,364961,147.6455,2024
610115,709881,773.3447,2024
610116,1138031,711.886,2024
610113,1270568,8398.3625,2024
610114,286490,1194.2511,2024
532532,101474,77.0517,2024
532531,235032,75.9214,2024
532530,376269,105.8068,2024
450123,315824,137.1869,2024
450125,364294,195.272,2024
450124,415320,177.5613,2024
511603,257772,510.7906,2024
211303,156835,246.6102,2024
211302,561952,1112.3215,2024
410902,796720,1988.8575,2024
511602,897275,873.3684,2024
610111,615736,1888.4133,2024
610112,859944,3283.4524,2024
450126,827300,358.8686,2024
341802,803403,310.7462,2024
430511,109766,1303.5745,2024
440785,532864,314.1119,2024
440784,546744,506.198,2024
440783,723920,437.0068,2024
222424,272152,30.8644,2024
610104,757864,19957.6185,2024
440781,988805,312.3166,2024
610102,576174,19087.5799,2024
610103,682142,29827.1023,2024
440309,1232708,7050.532,2024
222426,240067,32.2682,2024
440308,190112,2543.5358,2024
440307,2034058,2996.0062,2024
440306,2672976,7309.0798,2024
440305,1119703,6484.1842,2024
440304,1377524,18700.2412,2024
440303,962887,12239.1877,2024
430503,358000,1673.4191,2024
430502,321123,2363.4004,2024
130227,414457,284.0256,2024
130224,620044,538.2851,2024
130225,559560,388.386,2024
130229,722681,630.665,2024
371681,831083,660.9399,2024
430981,715680,336.5264,2024
610582,275053,406.7783,2024
610581,418762,262.0098,2024
441622,734429,239.0351,2024
441621,679306,186.9835,2024
441625,457972,114.1439,2024
533401,183922,16.0611,2024
441624,398918,175.21,2024
441623,352884,156.5112,2024
511621,827773,553.7141,2024
511622,631868,655.8986,2024
511623,752263,393.7418,2024
220221,418022,159.2398,2024
520102,874792,4200.6577,2024
520103,1094449,11742.3689,2024
222402,158246,139.5064,2024
222403,513418,43.6211,2024
610124,590865,200.4059,2024
222401,647817,379.5708,2024
222406,198863,39.3736,2024
451481,119314,187.1641,2024
222404,242157,46.6009,2024
222405,140187,63.2707,2024
510781,808894,297.0998,2024
451003,331973,139.877,2024
130204,376230,1517.8874,2024
451002,396895,106.4401,2024
130205,280039,1141.8272,2024
530381,1379457,228.4062,2024
510302,319046,2055.0197,2024
130202,244843,1218.0474,2024
130203,862571,5272.2605,2024
510304,450548,1124.9806,2024
130208,877442,721.2769,2024
510303,309497,759.4093,2024
210423,308507,78.8659,2024
130209,192362,135.0958,2024
210422,268516,62.7513,2024
210421,172810,101.9119,2024
130207,657117,504.3873,2024
610122,545624,271.9719,2024
130681,657957,878.9766,2024
130684,683742,1015.9789,2024
520581,749019,292.6743,2024
130682,1227728,957.7718,2024
130683,393972,812.1407,2024
360113,414714,1032.6626,2024
330703,338273,512.9048,2024
360111,697023,5260.652,2024
360112,940010,444.2978,2024
441602,500962,1384.5441,2024
330702,806128,580.1938,2024
320904,751920,277.5674,2024
540124,33870,20.8276,2024
611002,563768,213.1536,2024
320902,950876,945.715,2024
320903,759203,723.2765,2024
540127,47212,8.5913,2024
540121,53818,12.055,2024
540122,49366,4.8246,2024
540123,29725,9.091,2024
220284,536109,138.7759,2024
520521,815754,233.3712,2024
522701,470942,205.8654,2024
520523,594577,236.1204,2024
360124,733837,376.6039,2024
520524,836626,291.6783,2024
350322,879654,478.3347,2024
520525,718012,292.443,2024
522702,301233,178.1851,2024
532504,561350,143.487,2024
530325,766237,235.387,2024
520526,1341916,212.2298,2024
360123,192417,291.9122,2024
532503,445460,204.9604,2024
530326,963008,163.8267,2024
520527,688593,212.87,2024
623001,95731,45.8303,2024
532502,342597,176.5406,2024
530323,420347,150.6825,2024
360121,1080272,597.6744,2024
532501,489607,314.1821,2024
530324,583524,193.4827,2024
530322,657582,330.5596,2024
451024,316838,122.957,2024
451027,197919,96.6241,2024
451026,164780,73.3717,2024
510723,442929,268.9304,2024
340521,483970,496.5627,2024
451022,377515,134.1181,2024
510722,1108125,417.2056,2024
510727,181408,30.563,2024
510725,321856,222.9005,2024
340522,396876,386.0989,2024
510726,269649,87.4051,2024
340523,487219,370.944,2024
451029,241257,43.8953,2024
220281,475090,74.6665,2024
451028,159565,60.3604,2024
220283,686350,151.3381,2024
220282,473181,72.5464,2024
611026,163420,69.2482,2024
450181,916298,265.8983,2024
330726,463034,504.4089,2024
330727,186316,155.7228,2024
451030,145585,49.4424,2024
130628,362824,733.7637,2024
130629,271965,877.0233,2024
330723,379809,241.9631,2024
140430,180930,136.9152,2024
140431,168154,66.0023,2024
211322,536321,109.986,2024
130633,573168,225.8707,2024
211321,478857,127.4077,2024
130634,611374,571.8233,2024
130631,267547,738.8611,2024
130632,457227,629.8261,2024
130637,265135,803.0247,2024
451031,363370,102.8004,2024
130638,373942,724.3087,2024
211324,383445,171.9025,2024
130635,534782,819.5611,2024
130636,314743,441.1854,2024
140429,196097,121.7703,2024
341823,318057,156.4653,2024
611025,294129,84.4833,2024
611024,447202,126.8411,2024
320924,956936,389.3736,2024
341821,342073,310.6909,2024
611023,235131,102.3717,2024
320925,787442,680.0146,2024
611022,313090,129.8352,2024
320922,1016480,547.8693,2024
611021,468913,165.6347,2024
320923,894753,622.8154,2024
130630,276276,112.9303,2024
341825,126073,139.0813,2024
320921,543791,398.1026,2024
341824,166642,150.9149,2024
350781,292302,102.3099,2024
360104,340537,9349.9784,2024
522723,245641,150.991,2024
350782,249381,88.6036,2024
532529,315551,155.5146,2024
522722,153829,64.0784,2024
350783,481066,114.6416,2024
360102,391998,7332.2513,2024
532528,417046,188.3562,2024
522725,404712,206.061,2024
360103,567099,16278.9896,2024
532527,425222,258.3875,2024
522727,243365,87.0942,2024
350302,425442,882.1248,2024
532525,317576,104.3447,2024
522726,283408,115.7441,2024
350303,502573,653.5786,2024
532524,562444,148.7391,2024
522729,204947,132.1567,2024
350304,530048,1902.2719,2024
532523,162779,88.3422,2024
522728,272841,91.0937,2024
350305,575083,1016.3993,2024
430921,771943,583.7972,2024
430923,953011,192.7515,2024
430922,817954,395.9267,2024
340503,450908,2398.5143,2024
340506,184499,474.303,2024
340504,340745,1945.4228,2024
460322,2461,0.4753,2024
460321,910,1.025,2024
130608,671939,784.062,2024
130609,599716,828.5327,2024
130606,719197,4085.6621,2024
130607,429118,653.5286,2024
420304,592563,154.7489,2024
420303,434339,660.5994,2024
420302,393799,733.7164,2024
511681,294836,636.7132,2024
150221,293646,126.5518,2024
450521,917933,378.0663,2024
410505,475620,2503.5342,2024
410506,240985,1023.63,2024
410503,316582,3427.7744,2024
430112,583375,614.2006,2024
410502,386465,3407.4497,2024
430111,852867,2906.3422,2024
150222,186137,38.1492,2024
150223,107326,6.138,2024
140423,288730,245.0661,2024
140425,159491,106.4754,2024
140426,169102,151.3086,2024
140427,307109,305.4839,2024
430581,772930,502.4249,2024
140428,379693,369.3554,2024
652822,122871,8.6666,2024
652823,102153,1.7254,2024
652824,32029,0.1621,2024
652825,67269,0.4862,2024
652826,129374,55.0343,2024
652827,156897,4.5124,2024
652828,70371,5.5724,2024
652829,56686,15.911,2024
371602,722925,693.4265,2024
130623,365440,220.9258,2024
371603,373905,218.3536,2024
130626,530013,740.8455,2024
130627,561219,396.4831,2024
130624,217276,87.2893,2024
430582,953441,537.1255,2024
430103,551230,3992.6973,2024
430102,524897,12410.7802,2024
430105,614502,3237.4002,2024
430104,831280,1549.8373,2024
441226,356459,178.1801,2024
441225,423474,155.156,2024
441224,865161,242.4459,2024
441223,450879,183.4539,2024
513402,455221,101.0956,2024
513401,751045,282.5522,2024
150206,27529,111.5567,2024
150207,319522,391.9439,2024
150204,506604,1839.0941,2024
150205,36619,46.9313,2024
150202,543139,1164.5749,2024
360926,143674,91.9421,2024
150203,794897,2620.7177,2024
360924,289781,149.8325,2024
360925,153004,111.0273,2024
140403,806284,2348.6105,2024
140404,361106,745.299,2024
220621,314515,51.095,2024
140405,279813,234.7543,2024
140406,246349,400.249,2024
623025,58432,6.0861,2024
220623,79305,32.0658,2024
230422,184222,54.8207,2024
652801,547431,80.5197,2024
623026,37908,8.7528,2024
220622,141681,45.951,2024
230421,235060,34.5686,2024
623023,141087,46.5949,2024
623024,55374,11.717,2024
623021,148171,105.5275,2024
370725,689991,627.0846,2024
623022,103813,20.2546,2024
140881,472189,389.2195,2024
140882,420566,712.1815,2024
623027,92153,14.683,2024
130602,490859,3218.0484,2024
520181,479761,346.2155,2024
451402,335974,115.179,2024
500105,735996,3312.6663,2024
441204,804165,366.9029,2024
520111,638646,660.3461,2024
500104,346228,3317.3544,2024
441203,173393,314.2607,2024
520112,226372,331.4325,2024
500103,689535,29479.1948,2024
441202,504425,3322.3691,2024
520113,282498,1043.5342,2024
500102,1131077,384.7016,2024
500109,726705,967.3026,2024
520115,122896,403.5462,2024
500108,790577,3039.8746,2024
220211,351736,301.3139,2024
500107,1123615,2634.9505,2024
500106,1043991,2630.5893,2024
533423,143471,41.7412,2024
533422,97784,11.7283,2024
510311,289754,616.2641,2024
370321,514147,1024.0389,2024
370322,366501,438.8692,2024
370323,583622,356.186,2024
210411,511948,1480.4382,2024
620802,535800,281.224,2024
500101,1652064,479.0328,2024
220681,187516,62.3287,2024
520122,225585,217.7488,2024
520123,265329,247.36,2024
522301,829023,286.3475,2024
522302,443180,249.271,2024
220203,565264,482.3291,2024
220202,736026,866.3589,2024
360521,320988,232.4855,2024
220204,449100,763.4196,2024
350721,203124,102.6243,2024
350722,324070,95.5552,2024
350723,143671,63.7297,2024
350724,133216,126.8658,2024
350725,181925,103.8748,2024
451421,405570,142.6065,2024
510322,853103,636.1986,2024
210882,737846,470.9347,2024
510321,644500,401.6596,2024
210881,735436,250.9973,2024
451423,236788,102.3842,2024
451422,359295,96.8524,2024
210402,254481,2346.4645,2024
659010,36835,55.7184,2024
640402,363861,133.2772,2024
650205,10435,4.6875,2024
650204,57567,45.3363,2024
650203,245597,71.5469,2024
210404,409723,1296.183,2024
659012,10319,101.6407,2024
650202,73839,184.6814,2024
210403,342690,570.9645,2024
659011,30091,12.3732,2024
451425,351318,162.5113,2024
451424,314825,114.432,2024
331181,250006,82.1817,2024
520121,380969,188.7011,2024
140830,413128,355.5066,2024
659009,45051,66.7629,2024
659008,82301,82.6435,2024
410927,360688,816.6232,2024
370303,985299,2740.9906,2024
410926,501490,811.7931,2024
370304,505064,722.2141,2024
450103,743443,862.3735,2024
370305,663974,1000.6404,2024
410928,1032365,772.5963,2024
450102,437448,603.5986,2024
370306,421661,1379.4082,2024
410923,491142,798.803,2024
370783,1206030,616.6674,2024
410922,642851,779.7751,2024
370784,987733,576.2076,2024
370785,949530,622.4018,2024
370786,641192,440.562,2024
370302,745697,777.2389,2024
450109,326136,264.6444,2024
140825,356161,597.3099,2024
659003,161061,80.8385,2024
450108,333555,243.8399,2024
140826,292405,299.0892,2024
659002,167017,42.5692,2024
370781,1015680,651.1659,2024
140827,244697,151.9369,2024
659001,365516,798.9016,2024
370782,1156362,537.3354,2024
140828,374085,277.1043,2024
450105,602224,507.9109,2024
140829,279138,237.6864,2024
659007,48543,65.7845,2024
659006,72455,38.8488,2024
450107,1204405,1120.0682,2024
659005,66527,73.1677,2024
659004,99926,134.7284,2024
522323,270424,186.1434,2024
360502,887248,497.6777,2024
522324,262617,200.4591,2024
522325,323470,213.9514,2024
522326,265468,88.1726,2024
522327,200976,77.6691,2024
150627,232528,42.424,2024
360982,593523,461.1533,2024
522328,376372,169.339,2024
150626,137019,11.7476,2024
360983,861817,356.0099,2024
360981,1417168,499.1735,2024
350702,494805,186.3204,2024
350703,304976,90.0867,2024
